,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri.1,track_href,analysis_url,duration_ms.1,time_signature,cluster
24,"i hate u, i love u (feat. olivia o'brien)",we,Garrett Nash,251039,spotify:track:6zYuVnHTZQbFSQ9BAhhf9S,https://api.spotify.com/v1/tracks/6zYuVnHTZQbFSQ9BAhhf9S,0.615,0.288,6,-13.397,0,0.203,0.691,0.0,0.096,0.176,92.144,audio_features,6zYuVnHTZQbFSQ9BAhhf9S,spotify:track:6zYuVnHTZQbFSQ9BAhhf9S,https://api.spotify.com/v1/tracks/6zYuVnHTZQbFSQ9BAhhf9S,https://api.spotify.com/v1/audio-analysis/6zYuVnHTZQbFSQ9BAhhf9S,251039,4,1
25,2 Petty,In Too Deep (The E.P),Wetlikedasani,199500,spotify:track:2nKCfz8z6djIPcq5BB2CiD,https://api.spotify.com/v1/tracks/2nKCfz8z6djIPcq5BB2CiD,0.829,0.431,8,-13.248,0,0.286,0.927,0.00926,0.107,0.867,134.933,audio_features,2nKCfz8z6djIPcq5BB2CiD,spotify:track:2nKCfz8z6djIPcq5BB2CiD,https://api.spotify.com/v1/tracks/2nKCfz8z6djIPcq5BB2CiD,https://api.spotify.com/v1/audio-analysis/2nKCfz8z6djIPcq5BB2CiD,199500,4,1
26,23 hrs,Ciudades y Luces,Sin Instrumento Alguno,265848,spotify:track:4iPOlC6Gzbxh3I94mDHZ5T,https://api.spotify.com/v1/tracks/4iPOlC6Gzbxh3I94mDHZ5T,0.381,0.721,4,-5.806,1,0.0378,0.39,3.32e-06,0.108,0.548,189.808,audio_features,4iPOlC6Gzbxh3I94mDHZ5T,spotify:track:4iPOlC6Gzbxh3I94mDHZ5T,https://api.spotify.com/v1/tracks/4iPOlC6Gzbxh3I94mDHZ5T,https://api.spotify.com/v1/audio-analysis/4iPOlC6Gzbxh3I94mDHZ5T,265848,4,0
27,Mamiii - Remix,Mamiii (Remix),Dj Cumbio,182406,spotify:track:7tSRNFFAUh50phbAAqu1HT,https://api.spotify.com/v1/tracks/7tSRNFFAUh50phbAAqu1HT,0.782,0.749,4,-5.292,0,0.285,0.463,0.0,0.151,0.959,100.012,audio_features,7tSRNFFAUh50phbAAqu1HT,spotify:track:7tSRNFFAUh50phbAAqu1HT,https://api.spotify.com/v1/tracks/7tSRNFFAUh50phbAAqu1HT,https://api.spotify.com/v1/audio-analysis/7tSRNFFAUh50phbAAqu1HT,182406,4,1
28,"Under the Surface (Theme from ""Encanto"") [Surface Pressure]","Under the Surface (Theme from ""Encanto"") [Surface Pressure]",DJ Gotta,193381,spotify:track:3FByW3ENXRMgSQi0rPmekj,https://api.spotify.com/v1/tracks/3FByW3ENXRMgSQi0rPmekj,0.785,0.648,7,-3.708,1,0.113,0.149,7.16e-05,0.619,0.306,89.981,audio_features,3FByW3ENXRMgSQi0rPmekj,spotify:track:3FByW3ENXRMgSQi0rPmekj,https://api.spotify.com/v1/tracks/3FByW3ENXRMgSQi0rPmekj,https://api.spotify.com/v1/audio-analysis/3FByW3ENXRMgSQi0rPmekj,193381,4,0
29,No Interviews II,The Swisher Centipede,Northside QUiL,195163,spotify:track:0qRY3fmYP4ju0z1Gl3SCMU,https://api.spotify.com/v1/tracks/0qRY3fmYP4ju0z1Gl3SCMU,0.817,0.602,6,-10.055,1,0.123,0.663,0.0,0.182,0.91,139.931,audio_features,0qRY3fmYP4ju0z1Gl3SCMU,spotify:track:0qRY3fmYP4ju0z1Gl3SCMU,https://api.spotify.com/v1/tracks/0qRY3fmYP4ju0z1Gl3SCMU,https://api.spotify.com/v1/audio-analysis/0qRY3fmYP4ju0z1Gl3SCMU,195164,4,0
30,Doesn't Make You Right,Dirty Heads,Dirty Heads,262000,spotify:track:7y2RoHNhrToMvCOXQpkS8C,https://api.spotify.com/v1/tracks/7y2RoHNhrToMvCOXQpkS8C,0.682,0.614,7,-5.938,0,0.105,0.198,5.73e-06,0.738,0.431,171.8,audio_features,7y2RoHNhrToMvCOXQpkS8C,spotify:track:7y2RoHNhrToMvCOXQpkS8C,https://api.spotify.com/v1/tracks/7y2RoHNhrToMvCOXQpkS8C,https://api.spotify.com/v1/audio-analysis/7y2RoHNhrToMvCOXQpkS8C,262000,4,1
31,Good 4 U,Sour Piano Instrumentals,Minnz Piano,198034,spotify:track:0ylaWMLZv93Wqy6mAOyUi7,https://api.spotify.com/v1/tracks/0ylaWMLZv93Wqy6mAOyUi7,0.289,0.0922,9,-24.653,1,0.0427,0.974,0.937,0.0716,0.163,156.516,audio_features,0ylaWMLZv93Wqy6mAOyUi7,spotify:track:0ylaWMLZv93Wqy6mAOyUi7,https://api.spotify.com/v1/tracks/0ylaWMLZv93Wqy6mAOyUi7,https://api.spotify.com/v1/audio-analysis/0ylaWMLZv93Wqy6mAOyUi7,198034,4,0
32,Light On (Switching Vocals),Light On (Switching Vocals),Nightcore Dreams,187409,spotify:track:7ndlHXRhLX8r0Pxhohxg1w,https://api.spotify.com/v1/tracks/7ndlHXRhLX8r0Pxhohxg1w,0.275,0.323,5,-8.853,1,0.0302,0.752,0.00819,0.163,0.194,167.829,audio_features,7ndlHXRhLX8r0Pxhohxg1w,spotify:track:7ndlHXRhLX8r0Pxhohxg1w,https://api.spotify.com/v1/tracks/7ndlHXRhLX8r0Pxhohxg1w,https://api.spotify.com/v1/audio-analysis/7ndlHXRhLX8r0Pxhohxg1w,187409,5,-1
33,Golden Tongues,Golden Tongues,Psychic Love Child,312000,spotify:track:6uLktz7g6P2HGP580miTCT,https://api.spotify.com/v1/tracks/6uLktz7g6P2HGP580miTCT,0.494,0.69,1,-7.864,1,0.0401,0.00296,0.000316,0.0904,0.431,140.075,audio_features,6uLktz7g6P2HGP580miTCT,spotify:track:6uLktz7g6P2HGP580miTCT,https://api.spotify.com/v1/tracks/6uLktz7g6P2HGP580miTCT,https://api.spotify.com/v1/audio-analysis/6uLktz7g6P2HGP580miTCT,312000,4,0
